CODE;NOM;PAYS;EMAIL;IS_TOP_CLIENT;PRIORITY_LEVEL;MIN_LOT;FORMAT_IMPORT
ORI;Orifarm;DK;orders@orifarm.dk;OUI;1;50;External, Itemname, Quantity, Unitprice
MPA;MPA Pharma;DE;bestellungen@mpa-pharma.de;OUI;1;30;LocalCode/EMA, Product, Quantity, Price
CC;CC Pharma;DE;orders@cc-pharma.de;OUI;2;25;CIP, Designation, Qte, PU
AXI;Axicorp;DE;import@axicorp.de;OUI;2;40;CIPcode, Product, Price, POqnt
MEDCOR;Medcor;NL;contact@medcor.de;NON;3;20;ProductNumber, Name, Qty, Price
ABA;Abacus Medicine;DK;sourcing@abacus-medicine.com;NON;3;35;ItemCode, ItemName, OrderQty, Price
BMODESTO;B. Modesto;PT;commandes@bmodesto.pt;NON;4;25;Referencia, Produto, Quantidade, Preco
BROCACEF;Brocacef;NL;inkoop@brocacef.nl;NON;3;30;ArticleNr, Description, Amount, UnitPrice
2CARE4;2care4;DK;order@2care4.dk;NON;3;30;VareNr, Produkt, Antal, Pris
MELY;Mely Pharma;FR;export@mely-pharma.fr;NON;4;20;CIP13, Produit, Quantite, Prix
INPHARM;Inpharm;DE;einkauf@inpharm.de;NON;4;25;PZN, Artikel, Menge, Preis
BNS;BNS Pharma;DE;orders@bns-pharma.de;NON;5;15;Code, Product, Qty, Price
SIGMA;Sigma Pharma;AT;import@sigma-pharma.at;NON;5;20;PharmaCode, Bezeichnung, Menge, Preis
IMED;IMed Pharma;SE;bestallning@imed-pharma.se;NON;4;30;VaruNr, Produkt, Antal, Pris
