CODE;NOM;EMAIL_CONTACT;DRIVE_URL
ALLIANCE;Alliance Healthcare;commandes@alliance-healthcare.fr;https://drive.google.com/drive/folders/alliance_rw
CERP;CERP Rouen;export@cerp-rouen.fr;https://drive.google.com/drive/folders/cerp_rw
OCP;OCP Repartition;rw.pharma@ocp.fr;https://drive.google.com/drive/folders/ocp_rw
PHOENIX;Phoenix Pharma;commandes.export@phoenix.fr;https://drive.google.com/drive/folders/phoenix_rw
EPSILON;Epsilon Pharma;contact@epsilon-pharma.fr;https://drive.google.com/drive/folders/epsilon_rw
GINKGO;Gink'go Pharma;export@ginkgo-pharma.fr;https://drive.google.com/drive/folders/ginkgo_rw
DELTA;Delta Pharma;commercial@delta-pharma.fr;https://drive.google.com/drive/folders/delta_rw
SO;SO Pharma;commandes@so-pharma.fr;https://drive.google.com/drive/folders/so_rw
SNA;SNA Pharma;export@sna-pharma.fr;https://drive.google.com/drive/folders/sna_rw
MEZEGEL;Mezegel;contact@mezegel.fr;https://drive.google.com/drive/folders/mezegel_rw
MEDIANE;Mediane Pharma;commandes@mediane-pharma.fr;https://drive.google.com/drive/folders/mediane_rw
SAGITTA;Sagitta Pharma;export@sagitta-pharma.fr;https://drive.google.com/drive/folders/sagitta_rw
MHGC;MHGC;commercial@mhgc.fr;https://drive.google.com/drive/folders/mhgc_rw
